AssetType,Name,Symbol
Crypto,Function X,FX
Crypto,ELYSIA,EL
Crypto,Hegic,HEGIC
Crypto,BaaSid,BAAS
Crypto,Hxro,HXRO
Crypto,ZeroSwap,ZEE
Crypto,Cream Finance,CREAM
Crypto,Sentinel Protocol,UPP
Crypto,NEST Protocol,NEST
Crypto,Darwinia Network,RING
Crypto,Mobilian Coin,MBN
Crypto,Massnet,MASS
Crypto,Sentivate,SNTVT
Crypto,MX Token,MX
Crypto,Venus USDC,vUSDC
Crypto,Wrapped NXM,WNXM
Crypto,Hacken Token,HAI
Crypto,Observer,OBSR
Crypto,Nimiq,NIM
Crypto,IDEX,IDEX
Crypto,Smartlands Network,SLT
Crypto,Aeternity,AE
Crypto,FC Barcelona Fan Token,BAR
Crypto,LockTrip,LOC
Crypto,Huobi Pool Token,HPT
Crypto,BnkToTheFuture,BFT
Crypto,Endor Protocol,EDR
Crypto,Standard Tokenization Protocol,STPT
Crypto,Switcheo,SWTH
Crypto,Pirate Chain,ARRR
Crypto,Gifto,GTO
Crypto,Unifi Protocol DAO,UNFI
Crypto,BarnBridge,BOND
Crypto,DuckDaoDime,DDIM
Crypto,FIO Protocol,FIO
Crypto,Wing,WING
Crypto,Aergo,AERGO
Crypto,yOUcash,YOUC
Crypto,Ripio Credit Network,RCN
Crypto,Electric Vehicle Zone,EVZ
Crypto,XYO,XYO
Crypto,Proton,XPR
Crypto,Moss Coin,MOC
Crypto,Skycoin,SKY
Crypto,Dock,DOCK
Crypto,Nxt,NXT
Crypto,Cortex,CTXC
Crypto,Radicle,RAD
Crypto,SUKU,SUKU
Crypto,Constellation,DAG
Crypto,Venus ETH,vETH
Crypto,Quantstamp,QSP
Crypto,HyperCash,HC
Crypto,Dentacoin,DCN
Crypto,MAPS,MAPS
Crypto,Spartan Protocol,SPARTA
Crypto,Aurora,AOA
Crypto,Empty Set Dollar,ESD
Crypto,Oxen,OXEN
Crypto,Einsteinium,EMC2
Crypto,$80,277,333,
Crypto,NFTX,NFTX
Crypto,Belt,BELT
Crypto,Frax Share,FXS
Crypto,GET Protocol,GET
Crypto,PowerPool,CVP
Crypto,Groestlcoin,GRS
Crypto,Minter Network,BIP
Crypto,The Midas Touch Gold,TMTG
Crypto,Sport and Leisure,SNL
Crypto,CyberFi Token,CFi
Crypto,pNetwork,PNT
Crypto,Prometeus,PROM
Crypto,$76,692,746,
Crypto,Decentral Games,DG
Crypto,Wabi,WABI
Crypto,Big Data Protocol,BDP
Crypto,AXEL,AXEL
Crypto,Meme,MEME
Crypto,Kylin,KYL
Crypto,Swingby,SWINGBY
Crypto,Quiztok,QTCON
Crypto,GXChain,GXC
Crypto,JulSwap,JULD
Crypto,DeXe,DEXE
Crypto,Ergo,ERG
Crypto,GoChain,GO
Crypto,Poolz Finance,POOLZ
Crypto,AirSwap,AST
Crypto,EasyFi,EASY
Crypto,Grin,GRIN
Crypto,DragonVein,DVC
Crypto,OctoFi,OCTO
Crypto,Nebulas,NAS
Crypto,BoringDAO,BOR
Crypto,Tornado Cash,TORN
Crypto,Morpheus Labs,MITX
Crypto,DEXTools,DEXT
Crypto,TurtleCoin,TRTL
Crypto,Beldex,BDX
Crypto,Burger Swap,BURGER
Crypto,Project Pai,PAI
Crypto,PIXEL,PXL
Crypto,Kleros,PNK
Crypto,Nexalt,XLT
Crypto,Penta,PNT
Crypto,DMarket,DMT
Crypto,Phantasma,SOUL
Crypto,Propy,PRO
Crypto,BABB,BAX
Crypto,Qcash,QC
Crypto,Poseidon Network,QQQ
Crypto,Fusion,FSN
Crypto,DigitalBits,XDB
Crypto,Bifrost (BFC),BFC
Crypto,TrueFi,TRU
Crypto,Davinci Coin,DAC
Crypto,VIDY,$65,667,549
Crypto,DORA,$65,252,603
Crypto,VIDT Datalink,VIDT
Crypto,InsurAce,INSUR
Crypto,HUNT,HUNT
Crypto,Polkamon,PMON
Crypto,TEMCO,TEMCO
Crypto,LATOKEN,LA
Crypto,Sentinel,DVPN
Crypto,Blank Wallet,BLANK
Crypto,YIELD App,YLD
Crypto,MAP Protocol,MAP
Crypto,Raiden Network Token,RDN
Crypto,TokenClub,TCT
Crypto,ankrETH,aEth
Crypto,Cocos-BCX,COCOS
Crypto,Nucleus Vision,NCASH
Crypto,Alpha Quark Token,AQT
Crypto,DeepBrain Chain,DBC
Crypto,Robonomics.network,XRT
Crypto,Etherisc DIP Token,DIP
Crypto,BTU Protocol,BTU
Crypto,Tokamak Network,TON
Crypto,Genesis Vision,GVT
Crypto,Neblio,NEBL
Crypto,Bonfida,FIDA
Crypto,Bondly,BONDLY
Crypto,DAD,DAD
Crypto,Navcoin,NAV
Crypto,STASIS EURO,EURS
Crypto,cVault.finance,CORE
Crypto,QASH,QASH
Crypto,Measurable Data Token,MDT
Crypto,BLink,BLINK
Crypto,Basid Coin,BASID
Crypto,Venus BUSD,vBUSD
Crypto,Metaverse Dualchain Network Architecture,DNA
Crypto,Helmet.insure,HELMET
Crypto,Steem Dollars,SBD
Crypto,Aleph.im,ALEPH
Crypto,JustLiquidity,JUL
Crypto,Cashaa,CAS
Crypto,Stakenet,XSN
Crypto,Vitae,VITAE
Crypto,RSK Smart Bitcoin,RBTC
Crypto,Olyseum,OLY
Crypto,Duck DAO (DLP Duck Token),DUCK
Crypto,TerraKRW,KRT
Crypto,Bridge Mutual,BMI
Crypto,Finxflo,FXF
Crypto,Bao Finance,BAO
Crypto,Mushroom,MUSH
Crypto,LCX,LCX
Crypto,BASIC,BASIC
Crypto,BitKan,KAN
Crypto,ASTA,ASTA
Crypto,Auto,AUTO
Crypto,Aavegotchi,GHST
Crypto,Anyswap,ANY
Crypto,Bankera,BNK
Crypto,AntiMatter,MATTER
Crypto,Illuvium,ILV
Crypto,VerusCoin,VRSC
Crypto,Polkamarkets,POLK
Crypto,LABS Group,LABS
Crypto,BitZ Token,BZ
Crypto,mStable Governance Token: Meta (MTA),MTA
Crypto,Oraichain Token,ORAI
Crypto,GameCredits,GAME
